room_type,person_capacity,bedrooms,lng,lat,City,realSum,metro_dist,attr_index_norm,rest_index_norm,host_is_superhost,biz,cleanliness_rating,guest_satisfaction_overall,dist,Crime Index,Safety Index,geo_id,lng_lat_count,dup_rank_within_pair
Entire home/apt,4.0,1,12.519,41.89,rome,182.1242372524723,0.3771898249538877,6.240688265331018,15.792237300600036,False,0,10.0,93.0,1.8416414972778283,53.11,46.89,12.519_41.89,2,1
Entire home/apt,4.0,1,12.519,41.89,rome,190.07317700418488,0.3771702024047946,6.2406706863938135,15.7922093884793,True,0,10.0,95.0,1.841659710096022,53.11,46.89,12.519_41.89,2,2
Private room,2.0,1,12.519,41.896,rome,121.22133121361604,1.0345181814485755,6.319417495855053,16.342888813697584,True,1,10.0,98.0,1.491963392261494,53.11,46.89,12.519_41.896,2,1
Private room,4.0,1,12.519,41.896,rome,152.90019404764686,1.034528807322742,6.3194112883103895,16.342886069309678,True,1,10.0,94.0,1.4919731492243116,53.11,46.89,12.519_41.896,2,2
Entire home/apt,2.0,1,12.519,41.898999999999994,rome,86.50316788628339,1.2558196847475265,6.261469217113223,16.91676615095409,False,1,9.0,86.0,1.405824023111337,53.11,46.89,12.519_41.898999999999994,2,1
Entire home/apt,6.0,2,12.519,41.898999999999994,rome,196.1517779907886,1.2558404876125424,6.260797242425943,16.922513054301437,False,0,9.0,87.0,1.4058115138573917,53.11,46.89,12.519_41.898999999999994,2,2
Entire home/apt,6.0,3,12.52,41.88,rome,298.55282538049704,0.2397786397554236,5.343100861429053,14.819440719700866,True,0,9.0,96.0,2.7471295138437246,53.11,46.89,12.52_41.88,2,1
Private room,2.0,1,12.52,41.88,rome,92.5817688728871,0.2397854067703154,5.341949358124847,14.829431225160786,False,0,9.0,90.0,2.747130565644361,53.11,46.89,12.52_41.88,2,2
Entire home/apt,4.0,1,12.52,41.887,rome,171.13599700745797,0.1881982985343548,5.927832390677203,16.07992689363683,False,0,9.0,93.0,2.132001209369264,53.11,46.89,12.52_41.887,2,1
Entire home/apt,4.0,1,12.52,41.887,rome,182.82561428938817,0.1881907257934311,5.927851623631139,16.08030106912997,True,0,9.0,94.0,2.1319926378464524,53.11,46.89,12.52_41.887,2,2
Private room,3.0,1,12.521,41.913999999999994,rome,184.69595305449695,0.1044189758285002,5.0691783505078565,14.938089058522332,False,1,10.0,80.0,2.1327789796500443,53.11,46.89,12.521_41.913999999999994,2,1
Private room,4.0,1,12.521,41.913999999999994,rome,254.015383536343,0.1044219367871776,5.069176705019914,14.9379940332294,False,1,8.0,80.0,2.132771522266018,53.11,46.89,12.521_41.913999999999994,2,2
Entire home/apt,2.0,1,12.521,41.931,rome,109.76550627732448,0.2355637682899924,3.827336359285904,11.615934322903149,False,0,9.0,89.0,3.690907101891579,53.11,46.89,12.521_41.931,2,1
Private room,2.0,1,12.521,41.931,rome,115.6103149182896,0.2355604848625,3.8273322101932825,11.616437286332404,False,0,8.0,80.0,3.690926745016508,53.11,46.89,12.521_41.931,2,2
Private room,3.0,1,12.523,41.873000000000005,rome,78.32043578893226,0.2057811537741373,4.496917253091368,12.431498523936792,False,1,9.0,90.0,3.5430513489289424,53.11,46.89,12.523_41.873000000000005,2,1
Private room,4.0,1,12.523,41.873000000000005,rome,85.33420615809038,0.2057770416495518,4.496929770551265,12.431523360801696,False,1,9.0,91.0,3.543063975922873,53.11,46.89,12.523_41.873000000000005,2,2
Entire home/apt,2.0,1,12.523,41.876000000000005,rome,122.27339676898976,0.1281800648505193,4.71822753991218,13.223102027893937,False,0,9.0,90.0,3.255858577452201,53.11,46.89,12.523_41.876000000000005,2,1
Entire home/apt,6.0,2,12.523,41.876000000000005,rome,218.82963551773312,0.1282003230488332,4.718742765200466,13.218660854588386,False,0,9.0,88.0,3.2558454041196616,53.11,46.89,12.523_41.876000000000005,2,2
Private room,2.0,1,12.524,41.93,rome,97.19916769924951,0.4348652941524459,3.759382724023806,11.845760100004272,False,0,9.0,94.0,3.705149711174037,53.11,46.89,12.524_41.93,2,1
Private room,3.0,1,12.524,41.93,rome,100.53070862459964,0.4348606437784063,3.759382685237506,11.84615167745686,False,0,9.0,94.0,3.705146593524492,53.11,46.89,12.524_41.93,2,2
Private room,3.0,1,12.525,41.876999999999995,rome,161.5505108362752,0.2849656758309116,4.622940682938332,13.160526515429355,False,1,10.0,93.0,3.255536441971769,53.11,46.89,12.525_41.876999999999995,2,1
Private room,4.0,1,12.525,41.876999999999995,rome,161.5505108362752,0.2849680095374565,4.622929353046475,13.160493303582182,False,1,10.0,100.0,3.255552229649675,53.11,46.89,12.525_41.876999999999995,2,2
